English sentence,Swahii Translation
Police officers are highly skilled in their work.,Maafisa wa polisi wana ujuzi sana katika kazi zao.
It is not easy to survive a case with clear evidence.,Si rahisi kushinda kesi na ushahidi dhahiri
Oil is a very profitable item of trade world over.,Mafuta ni bidhaa yenye faida sana ya biashara ulimwenguni kote.
The government has compensated the people who lost their land during the road expansion.,Serikali imelipa fidia watu waliopoteza ardhi wakati wa upanuzi wa barabara.
Tax officers closed a number of shops without trading licenses.,Maafisa wa ushuru walifunga maduka kadhaa bila leseni za biashara.
There are many smuggled goods in the country.,Kuna bidhaa nyingi  ya magendo  nchini.
Almost all political parties have their headquarters in the capital city.,Karibu vyama vyote vya siasa vina makao yao makuu katika mji mkuu.
Some leaders are not co-operative.,Viongozi wengine hawashirikiani
Other party members disagreed with the leaders' decision.,Washiriki wengine wa chama hawakubaliani na uamuzi wa viongozi.
Health workers play an important role in people's lives.,Wafanyikazi wa afya huchukua jukumu muhimu katika maisha ya watu.
Government should fully equip the labour wards in most public hospitals.,Serikali inapaswa kuandaa kikamilifu wodi za kazi katika hospitali nyingi za umma.
Poor communication hinders the development of an area.,Mawasiliano duni huzuia maendeleo ya eneo.
Government gets financial support from other countries.,Serikali inapata msaada wa kifedha kutoka nchi zingine.
Sometimes people die innocently.,Wakati mwingine watu hufa bila hatia.
The government officials deserve to have body guards.,Maafisa wa serikali wanastahili kuwa na walinzi wa mwili.
There is poor security in our area.,Kuna usalama duni katika eneo letu.
Many African countries have experienced rebel attacks.,Nchi nyingi za Kiafrika zimepata shambulio la waasi.
Wars lead to loss of people's lives and property.,Vita husababisha upotezaji wa maisha na mali ya watu.
Maize is one of the major food crops in Uganda.,Mahindi ni moja wapo ya mazao makubwa ya chakula nchini Uganda.
Farmers have resorted to the use of machines to improve on their yields.,Wakulima wameamua matumizi ya mashine kuboresha mavuno yao.
Prices for agricultural products keep changing from time to time.,Bei za bidhaa za kilimo zinaendelea kubadilika mara kwa mara.
The Uganda national anthem has three stanzas.,Wimbo wa kitaifa wa Uganda una stanzas tatu.
The independence day celebrations are done in October every year.,Maadhimisho ya Siku ya Uhuru hufanywa mnamo Oktoba kila mwaka.
This country has lost many important people over the years.,Nchi hii imepoteza watu wengi muhimu kwa miaka.
Our capital city is occupied with people from different parts of the country. ,Mji mkuu wetu unamilikiwa na watu kutoka sehemu tofauti za nchi.
"Currently, the elderly have a representative in the parliament.","Hivi sasa, wazee wana mwakilishi katika Bunge."
The ruling party has the majority representation in the parliament. ,Chama tawala kina uwakilishi mwingi katika Bunge.
The sports council appointed a new coach for the national team.,Baraza la Michezo liliteua kocha mpya wa timu ya kitaifa.
"In our community, the chairman deals with legal issues.","Katika jamii yetu, Mwenyekiti anashughulikia maswala ya kisheria."
Courts promote justice in the country.,Korti zinakuza haki nchini.
Our country participates in international sports every year.,Nchi yetu inashiriki katika michezo ya kimataifa kila mwaka.
Sports activities generate a lot of income these days.,Shughuli za michezo hutoa mapato mengi siku hizi.
Money is the major medium of exchange in the whole world.,Pesa ndio njia kuu ya kubadilishana katika ulimwengu wote.
Banks offer loans to people with securities.,Benki hutoa mikopo kwa watu walio na usalama.
Their party is the strongest among all opposition political parties.,Chama chao ni nguvu kati ya vyama vyote vya siasa vya upinzani.
He is among the founder members of their political party.,Yeye ni mmoja wa washiriki wa mwanzilishi wa chama chao cha siasa.
Mining is a profitable business in the whole world.,Uchimbaji Madini ni biashara yenye faida katika ulimwengu wote.
Companies are supposed to give protective gears to the workers.,Kampuni zinastahili kutoa gia za kinga kwa wafanyikazi.
Landslides cause a lot of deaths to people.,Maporomoko ya ardhi husababisha vifo vingi kwa watu.
The chairman addressed the residents about the current problems in the village.,Mwenyekiti aliwahutubia wakaazi juu ya shida za sasa katika kijiji.
The youths are the future leaders of our country.,Vijana ni viongozi wa baadaye wa nchi yetu.
The previous presidential elections were so vibrant.,Uchaguzi wa rais wa zamani ulikuwa mzuri sana.
The sports council registers new clubs annually.,Baraza la Michezo linasajili vilabu vipya kila mwaka.
Our country made sixty years of independence last year in October. ,Nchi yetu ilifanya miaka sitini ya uhuru mwaka jana mnamo Oktoba.
There are many cultural leaders in our country.,Kuna viongozi wengi wa kitamaduni katika nchi yetu.
Cultural leaders play a big role in promoting discipline within the community.,Viongozi wa kitamaduni wanachukua jukumu kubwa katika kukuza nidhamu ndani ya jamii.
Most of the independence eyewitnesses are dead.,Mashuhuda wengi wa uhuru wamekufa.
The number of domestic investors increases every year.,Idadi ya wawekezaji wa ndani huongezeka kila mwaka.
Industries provide employment opportunities to people.,Viwanda hutoa fursa za ajira kwa watu.
There is a high rate of motorcycle theft in urban areas.,Kuna kiwango cha juu cha wizi wa pikipiki katika maeneo ya mijini.
Motorcycles cause a lot of traffic jam in the city center.,Pikipiki husababisha trafiki nyingi katikati mwa jiji.
We had more than ten contestants for the presidential seat this year.,Tulikuwa na wagombea zaidi ya kumi kwa kiti cha rais mwaka huu.
This year's swearing-in ceremony had a small audience because of the pandemic.,Sherehe ya kuapa ya mwaka huu ilikuwa na hadhira ndogo kwa sababu ya janga.
Maize prices have fallen this year. ,Bei ya mahindi imeshuka mwaka huu.
Rural farmers have poor storage facilities for their harvest.,Wakulima wa vijijini wana vifaa duni vya kuhifadhi kwa mavuno yao.
Water is very useful to people all over the world.,Maji ni muhimu sana kwa watu ulimwenguni kote.
The government has constructed bore holes in many parts of the country.,Serikali imeunda mashimo katika sehemu nyingi za nchi.
Rainfall is one of the main sources of water.,Mvua ni moja wapo ya vyanzo kuu vya maji.
Several health centers in villages have unqualified workers.,Vituo kadhaa vya afya katika vijiji vina wafanyikazi wasio na sifa.
A certain woman died while giving birth yesterday.,Mwanamke fulani alikufa wakati akizaa jana.
Our country joined the United Nations in one thousand nine hundred sixty two.,Nchi yetu ilijiunga na Umoja wa Mataifa katika elfu moja mia tisa sitini na mbili.
The government distributed mosquito nets across the country to reduce the spread of malaria.,Serikali ilisambaza nyavu za mbu kote nchini ili kupunguza kuenea kwa ugonjwa wa malaria.
Some pharmacies sell expired drugs.,Maduka mengine ya dawa huuza dawa za kumalizika muda.
My friend works for a television company.,Rafiki yangu anafanya kazi kwa kampuni ya runinga.
Fire out breaks cause losses to business owners.,Kuvunja moto husababisha hasara kwa wamiliki wa biashara.
Electricity in our area is unstable.,Umeme katika eneo letu hauna msimamo.
Police plays an important role in keeping order among citizens.,Polisi wana jukumu muhimu katika kuweka utaratibu kati ya raia.
Women enjoy playing netball in our country.,Wanawake wanafurahiya kucheza mpira wa wavu katika nchi yetu.
Universities promote students' talents through sports and games.,Vyuo vikuu vinakuza vipaji vya wanafunzi kupitia michezo na michezo.
The electoral commission registers new political parties every presidential term.,Tume ya uchaguzi inasajili vyama vipya vya siasa kila muhula wa rais.
People are free to join any political party of their choice.,Watu wako huru kujiunga na chama chochote cha siasa cha chaguo lao.
No one is above the law in this country.,Hakuna mtu aliye juu ya sheria katika nchi hii.
I am going to court to testify in a criminal matter.,Nitaenda korti kutoa ushahidi katika suala la jinai.
There was a misunderstanding within one of the opposition political parties.,Kulikuwa na kutokuelewana ndani ya moja ya vyama vya siasa vya upinzani.
The leader of the opposition party was invited to a press conference.,Kiongozi wa chama cha upinzaji alialikwa kwenye mkutano wa waandishi wa habari.
There was a peaceful demonstration at the city hall. ,Kulikuwa na maandamano ya amani katika ukumbi wa jiji.
People around the world react to demonstrations in different ways.,Watu ulimwenguni kote huguswa na maandamano kwa njia tofauti.
Currently Uganda has a female prime minister.,Hivi sasa Uganda ina Waziri Mkuu wa kike.
We are not given the chance to speak out our minds.,Hatujapewa nafasi ya kusema akili zetu.
Sometimes political parties face internal conflicts.,Wakati mwingine vyama vya siasa vinakabiliwa na mizozo ya ndani.
The Ugandan goalkeeper won a gold medal in South Africa last season.,Kipa wa Uganda alishinda medali ya dhahabu nchini Afrika Kusini msimu uliopita.
Our team striker won the top scorer's award last year.,Mshambuliaji wetu wa timu alishinda tuzo ya mfungaji bora mwaka jana.
The northern part of Uganda is blessed with Gold.,Sehemu ya kaskazini ya Uganda imebarikiwa na dhahabu.
The minister has officially opened the youth conference.,Waziri amefungua rasmi Mkutano wa Vijana.
Church leaders play an important part in shaping people's morals.,Viongozi wa kanisa huchukua sehemu muhimu katika kuunda maadili ya watu.
The Ugandan army has maintained peace in all parts of the country.,Jeshi la Uganda limedumisha amani katika sehemu zote za nchi.
Uganda has a good relationship with its neighbors.,Uganda ina uhusiano mzuri na majirani zake.
Some football clubs' pitches are in a bad shape.,Baadhi ya vilabu vya mpira wa miguu viko katika hali mbaya.
My friend is one of the referees in the national football league.,Rafiki yangu ni mmoja wa marejeo katika Ligi ya Soka ya Kitaifa.
Their political party is still new in the country's political field.,Chama chao cha siasa bado ni mpya katika uwanja wa kisiasa wa nchi hiyo.
Some party leaders have been in office for a long time.,Viongozi wengine wa chama wamekuwa ofisini kwa muda mrefu.
The number of refugees who enter Uganda increases every year.,Idadi ya wakimbizi ambao huingia Uganda huongezeka kila mwaka.
It's said that some legal officers are corrupt.,Inasemekana kwamba maafisa wengine wa kisheria ni mafisadi.
There is freedom of speech and expression in the country.,Kuna uhuru wa kusema na kujieleza nchini.
The national army is very useful to our country.,Jeshi la Kitaifa ni muhimu sana kwa nchi yetu.
All constituencies have representatives in the parliament.,Maeneo yote yana wawakilishi katika Bunge.
Almost all opposition leaders have the same goals.,Karibu viongozi wote wa upinzaji wana malengo sawa.
Politicians spend a lot of money during the campaigning period.,Wanasiasa hutumia pesa nyingi wakati wa kampeni.
The minister promised to give financial support to needy people. ,Waziri aliahidi kutoa msaada wa kifedha kwa watu wenye uhitaji.
Moslem men are allowed to marry more than one woman.,Wanaume wa Moslem wanaruhusiwa kuoa zaidi ya mwanamke mmoja.
"Legally, all married couples must receive a marriage certificate.","Kimsingi, wenzi wote wa ndoa lazima wapate cheti cha ndoa."
The sugar factory will offer jobs to the residents.,Kiwanda cha sukari kitatoa kazi kwa wakaazi.
The government funded this sugar project.,Serikali ilifadhili mradi huu wa sukari.
Some students are sexually abused at school.,Wanafunzi wengine wananyanyaswa kingono shuleni.
This school has maintained its standard for a long time.,Shule hii imedumisha kiwango chake kwa muda mrefu.
Many people lose their property due to political conflicts.,Watu wengi hupoteza mali zao kwa sababu ya mizozo ya kisiasa.
Most political party leaders have put much emphasis on recruiting the youths. ,Viongozi wengi wa chama cha siasa wameweka mkazo sana juu ya kuajiri vijana.
"Currently, there are many private security companies in the country.","Hivi sasa, kuna kampuni nyingi za usalama za kibinafsi nchini."
Our security cameras helped us to catch the thieves who attacked us last night.,Kamera zetu za usalama zilitusaidia kuwashika wezi ambao walitushambulia jana usiku.
I don't believe in this report.,Siamini katika ripoti hii.
My sister has twenty five millions on her National Social Security Fund account.,Dada yangu ana milioni ishirini na tano kwenye akaunti yake ya kitaifa ya Mfuko wa Usalama wa Jamii.
There are very many saving groups in our district.,Kuna vikundi vingi vya kuokoa katika wilaya yetu.
The previous campaigns were more vibrant compared to this year.,Kampeni za zamani zilikuwa nzuri zaidi ikilinganishwa na mwaka huu.
The current chairman of our village was unopposed.,Mwenyekiti wa sasa wa kijiji chetu hakufunguliwa.
Uganda is one of the member states of the United Nations organisation.,Uganda ni moja wapo ya nchi wanachama wa Shirika la Umoja wa Mataifa.
Courts of law promote justice in the country.,Korti za sheria zinakuza haki nchini.
The district leader was nominated to lead that project.,Kiongozi wa wilaya aliteuliwa kuongoza mradi huo.
There is a disagreement among the leaders of the opposition political parties.,Kuna kutokubaliana kati ya viongozi wa vyama vya siasa vya upinzaji.
How many seats does the opposition have in parliament?,Je! Upinzani una viti vingapi katika Bunge?
The leader took a decision after his investigation.,Kiongozi alichukua uamuzi baada ya uchunguzi wake.
"Be patient, more details will come soon.","Kuwa na subira, maelezo zaidi yatakuja hivi karibuni."
We appeal to the church to pray for peace within our nation. ,Tunatoa wito kwa Kanisa kuombea amani ndani ya taifa letu.
The leader attended the mass in the neighbouring church.,Kiongozi huyo alihudhuria misa katika kanisa jirani.
Wild animals are a threat to humans.,Wanyama wa porini ni tishio kwa wanadamu.
There are several game parks in the country.,Kuna mbuga kadhaa za mchezo nchini.
There is a silent battle between the leadership of legislators and the military.,Kuna vita ya kimya kati ya uongozi wa wabunge na jeshi.
The army for so long has been accused of torturing citizens on lakes.,Jeshi kwa muda mrefu limeshtumiwa kwa kuwatesa raia kwenye maziwa.
The government has teamed up with international oil companies.,Serikali imeungana na kampuni za kimataifa za mafuta.
Uganda is set to become one of the largest oil producers in East Africa.,Uganda imewekwa kuwa mmoja wa wazalishaji wakubwa wa mafuta katika Afrika Mashariki.
Many Ugandans die from cancer and diabetes.,Waganda wengi hufa kutokana na saratani na ugonjwa wa sukari.
Energy drinks affect our lives in a negative way.,Vinywaji vya nishati huathiri maisha yetu kwa njia mbaya.
My sister has the full details about the story.,Dada yangu ana maelezo kamili juu ya hadithi hiyo.
There was a misunderstanding between the security forces in our town. ,Kulikuwa na kutokuelewana kati ya vikosi vya usalama katika mji wetu.
The parliament suspended operations of the army on the lake following a heated debate.,Bunge lilisimamisha shughuli za jeshi kwenye ziwa kufuatia mjadala mkali.
Some businesses cannot last for one year.,Biashara zingine haziwezi kudumu kwa mwaka mmoja.
The unemployed youths will benefit from this project.,Vijana wasio na kazi watafaidika na mradi huu.
The food crop subsector registered the largest contribution within the agricultural sector.,Msaidizi wa mazao ya chakula alisajili mchango mkubwa zaidi katika sekta ya kilimo.
Our country is free from torture and cruelty.,Nchi yetu iko huru kutokana na kuteswa na ukatili.
There are accusations that civilians are being tortured.,Kuna mashtaka kwamba raia wanateswa.
The commander was advised not to miss the meeting.,Kamanda alishauriwa asikose mkutano.
The police released the politician on bail.,Polisi waliachilia mwanasiasa huyo kwa dhamana.
There is free entry and exit into this country.,Kuna kuingia kwa bure na kutoka ndani ya nchi hii.
The leader has been on house arrest for two weeks.,Kiongozi huyo amekuwa akikamatwa kwa nyumba kwa wiki mbili.
The punishment for unlawful assembly is one year imprisonment.,Adhabu ya kusanyiko lisilo halali ni kifungo cha mwaka mmoja.
The legislator's supporters were beaten and arrested.,Wafuasi wa wabunge walipigwa na kukamatwa.
The army commander has deployed soldiers all over the streets.,Kamanda wa Jeshi amepeleka askari barabarani kote.
The army defends and protects the country.,Jeshi linatetea na kulinda nchi.
The journalist took a photo of the protesters burning tyres in the city centre.,Mwandishi wa habari alichukua picha ya waandamanaji kuchoma matairi katikati ya jiji.
He beat me with a very big stick.,Alinipiga kwa fimbo kubwa sana.
The legislator was warmly welcomed.  ,Mbunge alikaribishwa kwa joto.
He was taken to Aga Khan hospital in Nairobi to get better health services.,Alipelekwa katika Hospitali ya Aga Khan jijini Nairobi kupata huduma bora za afya.
The city is calm now after yesterday's protests.,Jiji ni shwari sasa baada ya maandamano ya jana.
His arrival caused a lot of traffic jam on Entebbe road.,Kufika kwake kulisababisha trafiki nyingi kwenye barabara ya Entebbe.
Road blocks were placed on every road leading to the city centre.,Vitalu vya barabara viliwekwa kwenye kila barabara inayoelekea katikati mwa jiji.
The police denied the opposition leader access to that place.,Polisi walikataa kiongozi wa upinzaji wa mahali hapo.
 The news reporter narrated the story., Mwandishi wa habari alisimulia hadithi hiyo.
The journalists were severely beaten.,Waandishi wa habari walipigwa sana.
The police can arrest someone who is suspected of committing a criminal offence.,Polisi wanaweza kumkamata mtu anayeshukiwa kutenda kosa la jinai.
How do you write a police complaint letter? ,Je! Unaandikaje barua ya malalamiko ya polisi?
My brother works at Entebbe airport.,Ndugu yangu anafanya kazi kwenye uwanja wa ndege wa Entebbe.
The fishermen sued the leaders over alleged torture.,Wavuvi walishtaki viongozi juu ya madai ya kuteswa.
She served as a speaker of the parliament for ten years.,Alihudumu kama msemaji wa Bunge kwa miaka kumi.
Our village leader's life is in danger due to the several death threats.,Maisha ya kiongozi wa kijiji chetu yuko hatarini kutokana na vitisho kadhaa vya kifo.
On Monday two suspects were charged with murder and attempted murder.,Mnamo Jumatatu watuhumiwa wawili walishtakiwa kwa mauaji na kujaribu mauaji.
"The president has spoken out, about the recent cash he has been giving out.","Rais amezungumza, juu ya pesa za hivi karibuni ambazo amekuwa akitoa."
This government project will help the elderly and vulnerable people.,Mradi huu wa serikali utasaidia wazee na walio katika mazingira magumu.
The youths in Arua are struggling to get youth livelihood funds.,Vijana huko Arua wanajitahidi kupata fedha za maisha ya vijana.
"The world leaders met in Paris, France.","Viongozi wa ulimwengu walikutana huko Paris, Ufaransa."
The minister will be the head of the delegation.,Waziri atakuwa mkuu wa ujumbe.
Various organizations have provided assistance to refugees in Uganda.,Mashirika anuwai yametoa msaada kwa wakimbizi nchini Uganda.
The news reporter was live from Kenya.,Mwandishi wa habari alikuwa akiishi kutoka Kenya.
The president addressed the nation following the current situation.,Rais alihutubia taifa kufuatia hali ya sasa.
The legislators maintain that the delay has disrupted business.,Wabunge wanadumisha kuwa kuchelewesha kumesumbua biashara.
The proposal focuses on reducing the tax on mobile money withdawals.,Pendekezo hilo linalenga kupunguza ushuru kwa pesa za rununu.
Brought about the death of the journalist.,Kuletwa juu ya kifo cha mwandishi wa habari.
A sponsor for the cricket league has been sourced.,Mdhamini wa ligi ya kriketi amepitiwa.
Two people were handed a punishment for murder and armed robbery.,Watu wawili walipewa adhabu ya mauaji na wizi wa kutumia silaha.
The punishment came after the duo conceded to having committed the crimes.,Adhabu hiyo ilikuja baada ya duo kukubali kutenda uhalifu.
The football team claimed their biggest victory.,Timu ya mpira wa miguu ilidai ushindi wao mkubwa.
The inhabitants of the Kingdom are surprising.,Wakazi wa ufalme wanashangaza.
There is a need for joint efforts in developing agriculture.,Kuna haja ya juhudi za pamoja katika kukuza kilimo.
Other issues must not be disregarded for the sake of obtaining funds.,Maswala mengine hayapaswi kupuuzwa kwa sababu ya kupata fedha.
He repeated his actions.,Alirudia matendo yake.
There was loss of property.,Kulikuwa na upotezaji wa mali.
The minister was pinned for being involved in land wrangles.,Waziri huyo alibandikwa kwa kuhusika katika milio ya ardhi.
Having elections soon in the newly created six districts is uncertain.,Kuwa na uchaguzi hivi karibuni katika wilaya sita mpya hazina uhakika.
There is no money to organise elections.,Hakuna pesa za kupanga uchaguzi.
The delayed elections raised eyebrows.,Uchaguzi uliocheleweshwa uliinua nyusi.
These two do not relate.,Hizi mbili hazihusiani.
They are accused of failing the taxi business.,Wanashutumiwa kwa kushindwa biashara ya teksi.
The legislator is not moved by the accusations.,Mbunge hajasukumwa na mashtaka.
The legislator is basing on his defence.,Mbunge anategemea utetezi wake.
The president was attacked.,Rais alishambuliwa.
The questions are numerous amidst no answers.,Maswali ni mengi huku kukiwa na majibu.
The lawyer to the legislator has confirmed that his client is missing.,Wakili wa mbunge amethibitisha kuwa mteja wake hayupo.
He was expected to appear at the High Court last Wednesday.,Alitarajiwa kufikishwa katika Korti Kuu Jumatano iliyopita.
There is a commitment to find a permanent headquarter.,Kuna kujitolea kupata makao makuu ya kudumu.
This comes after being chosen as a member of the international sport.,Hii inakuja baada ya kuchaguliwa kama mshiriki wa michezo ya kimataifa.
The government has looked into the land issue.,Serikali imeangalia suala la ardhi.
The locals were asked to remain on the land.,Wenyeji waliulizwa kubaki kwenye ardhi.
The land disagreement has been there for long.,Kutokubaliana kwa ardhi kumekuwepo kwa muda mrefu.
He was condemned for poor service delivery.,Alihukumiwa kwa utoaji duni wa huduma.
The bridges connect different sub counties in the district.,Madaraja yanaunganisha kaunti tofauti katika wilaya.
Police has advised the motorcycle riders against covering their lights.,Polisi wameshauri waendeshaji wa pikipiki dhidi ya kufunika taa zao.
Police will take away motorcycles whose riders fail to stick to the rules.,Polisi wataondoa pikipiki ambazo waendeshaji wake wanashindwa kushikamana na sheria.
Riders feel that the law is applied to a small number of them.,Wapanda farasi wanahisi kuwa sheria inatumika kwa idadi ndogo yao.
The president needs to study the quality of the information that he receives.,Rais anahitaji kusoma ubora wa habari anayopokea.
It is the opinion held by the cleric.,Ni maoni yaliyoshikiliwa na mchungaji.
He was speaking to Moslems.,Alikuwa akizungumza na Moslems.
His arrest was not authorised.,Kukamatwa kwake hakuidhinishwa.
The costs of pumping water have caused worry.,Gharama za kusukuma maji zimesababisha wasiwasi.
Overpopulation is partly responsible for the huge costs.,Kuzidi kunawajibika kwa gharama kubwa.
The statement was made at the launch of a constituency in a district.,Taarifa hiyo ilitolewa wakati wa uzinduzi wa jimbo katika wilaya.
Many unprincipled dealers claiming to be clearing agents charge importers highly.,Wafanyabiashara wengi ambao hawajakamilika wakidai kuwa mawakala wa kusafisha hulipa waagizaji sana.
They use the importers' and exporters' lack of knowledge in the clearing process.,Wanatumia ukosefu wa maarifa wa waagizaji na wauzaji katika mchakato wa kusafisha.
The importers are advised to consult with the relevant body before making business.,Waagizaji wanashauriwa kushauriana na mwili husika kabla ya kufanya biashara.
The final competition will be between two teams.,Ushindani wa mwisho utakuwa kati ya timu mbili.
The team made it through two difficult semi final competitions on Saturday.,Timu hiyo ilifanya kupitia mashindano mawili magumu ya mwisho Jumamosi.
The Uganda Police Team failed to claim victory this evening.,Timu ya polisi ya Uganda ilishindwa kudai ushindi jioni hii.
"In the tournament, the victors were to walk away with cash prizes.","Katika mashindano hayo, washindi walipaswa kutembea na tuzo za pesa."
It is a complete news report.,Ni ripoti kamili ya habari.
Hopes to secure more medals in future international events are high.,Matumaini ya kupata medali zaidi katika hafla za baadaye za kimataifa ni kubwa.
Plans for the commissioning of the bridge are underway.,Mipango ya kuamuru daraja inaendelea.
The bridge is five hundred twenty five meters long.,Daraja hilo ni mia tano ishirini na tano.
The bridge is set to boost tourism and economic growth.,Daraja limepangwa kuongeza utalii na ukuaji wa uchumi.
The office has laid out its policy.,Ofisi imeweka sera yake.
It is expected of all government departments.,Inatarajiwa kwa idara zote za serikali.
He recorded a statement at the police.,Alirekodi taarifa kwa polisi.
His short videos made rounds on the social platforms.,Video zake fupi zilifanya raundi kwenye majukwaa ya kijamii.
A campaign has been launched to better the lives of Ugandans.,Kampeni imezinduliwa ili kuboresha maisha ya Waganda.
The arrangement aims at improving homes.,Mpangilio huo unakusudia kuboresha nyumba.
The jubilation is centered around spending a decade in service delivery.,Jubilation hiyo inazingatia kutumia muongo katika utoaji wa huduma.
Climate change is being addressed such that agriculture is boosted.,Mabadiliko ya hali ya hewa yanashughulikiwa kwamba kilimo kinakuzwa.
Emphasis was placed on the use of solar powered irrigation schemes.,Mkazo uliwekwa juu ya utumiaji wa miradi ya umwagiliaji yenye nguvu ya jua.
She leaves office after being on head for seven and a half years.,Anaondoka madarakani baada ya kuwa kichwani kwa miaka saba na nusu.
Her achievements are being considered.,Mafanikio yake yanazingatiwa.
The increasing levels of resignation are a cause for worry.,Viwango vinavyoongezeka vya kujiuzulu ni sababu ya wasiwasi.
There is need to improve the working conditions at the city hall.,Kuna haja ya kuboresha hali ya kufanya kazi katika ukumbi wa jiji.
Efforts to settle the dispute have been called off.,Jaribio la kumaliza mzozo limetolewa.
The prime minister orders for consultations.,Waziri Mkuu anaamuru mashauriano.
The resignation delighted the Mayor.,Kujiuzulu kulimfurahisha Meya.
The Lord Mayor identified who would be leaving next.,Meya wa Bwana aligundua ni nani atakayeondoka baadaye.
The resignation attracted reactions from politicians.,Kujiuzulu kulivutia athari kutoka kwa wanasiasa.
The transport operation dues have been agreed on by the ministers.,Hati za operesheni za usafirishaji zimekubaliwa na mawaziri.
Transport operator fees have been revised.,Ada ya mwendeshaji wa usafirishaji imerekebishwa.
Shillings twenty four billion will be collected annually from the businesses.,Shilingi bilioni ishirini na nne zitakusanywa kila mwaka kutoka kwa biashara.
The cabinet has approved money for the relocation of the landslide survivors.,Baraza la Mawaziri limeidhinisha pesa kwa kuhamishwa kwa waathirika wa maporomoko ya ardhi.
The finance ministry was accused of occasionaly defeating the relocation agenda.,Wizara ya Fedha ilishtumiwa kwa mara kwa mara ikishinda ajenda ya kuhamishwa.
Another disaster is innevitable.,Msiba mwingine hauwezi kuepukika.
The revelation was made by officials from the Prime Minister's office.,Ufunuo huo ulifanywa na maafisa kutoka ofisi ya Waziri Mkuu.
The illegal demolition of the residencies has been stopped.,Uharibifu haramu wa makazi umesimamishwa.
An invesitgation into the matter has been ordered.,Kuingia katika jambo hilo kumeamriwa.
The president addressed the affected residents.,Rais alihutubia wakaazi walioathirika.
The land dispute involves an investor.,Mzozo wa ardhi unajumuisha mwekezaji.
Investors are to finance the construction of a mineral laboratory.,Wawekezaji wanapaswa kufadhili ujenzi wa maabara ya madini.
The laboratory is projected to be key in mineral exploration.,Maabara inakadiriwa kuwa muhimu katika utafutaji wa madini.
There has been deployment in order to increase security along the border.,Kumekuwa na kupelekwa ili kuongeza usalama kando ya mpaka.
They will collaborate to ensure security along the busy borders.,Watashirikiana kuhakikisha usalama kando ya mipaka iliyokuwa na shughuli nyingi.
The deployment follows an order made by the supreme leader.,Kupelekwa hufuata agizo lililotolewa na kiongozi mkuu.
A team has been formed to make an inquiry about forced slavery.,Timu imeundwa kufanya uchunguzi juu ya utumwa wa kulazimishwa.
The committee will be multi-disciplinary.,Kamati hiyo itakuwa ya nidhamu nyingi.
A haircut is necessary for school going children in slum communities.,Kukata nywele ni muhimu kwa watoto kwenda shule katika jamii duni.
Many children are dismissed from school for having untrimmed hair.,Watoto wengi hufukuzwa shuleni kwa kuwa na nywele zisizo na nywele.
